company,role,city,city_data_points,num_salaries,avg_salary,min_salary,max_salary,median_salary,p25_salary,p75_salary,p90_salary,fixed_pct,variable_pct,min_exp,max_exp,detail_url
Cint,Survey Programmer,Chhindwara (Madhya Pradesh),3,4,9.6L,8.0L,11.5L,9.4L,8.7L,10.5L,11.5L,92%,8%,1,5,https://www.ambitionbox.com/salaries/cint-salaries/survey-programmer
Cint,Survey Programmer,Noida (Uttar Pradesh),1,4,9.6L,8.0L,11.5L,9.4L,8.7L,10.5L,11.5L,92%,8%,1,5,https://www.ambitionbox.com/salaries/cint-salaries/survey-programmer
Cint,Account Development Representative,All India,4,4,8.9L,5.3L,10.0L,9.4L,8.6L,10.0L,10.0L,,,1,2,https://www.ambitionbox.com/salaries/cint-salaries/account-development-representative
Cint,Account Development Representative,Gurgaon / Gurugram (Haryana),2,4,8.9L,5.3L,10.0L,9.4L,8.6L,10.0L,10.0L,,,1,2,https://www.ambitionbox.com/salaries/cint-salaries/account-development-representative
Cint,Account Development Representative,New Delhi (Delhi),1,4,8.9L,5.3L,10.0L,9.4L,8.6L,10.0L,10.0L,,,1,2,https://www.ambitionbox.com/salaries/cint-salaries/account-development-representative
Cint,Account Development Representative,Chandigarh (Chandigarh),1,4,8.9L,5.3L,10.0L,9.4L,8.6L,10.0L,10.0L,,,1,2,https://www.ambitionbox.com/salaries/cint-salaries/account-development-representative
Cint,Business Intelligence Analyst,All India,4,4,16.1L,15.0L,22.6L,15.8L,15.0L,16.5L,16.5L,,,4,5,https://www.ambitionbox.com/salaries/cint-salaries/business-intelligence-analyst
Cint,Business Intelligence Analyst,Gurgaon / Gurugram (Haryana),3,4,16.1L,15.0L,22.6L,15.8L,15.0L,16.5L,16.5L,,,4,5,https://www.ambitionbox.com/salaries/cint-salaries/business-intelligence-analyst
Cint,Business Intelligence Analyst,Kanpur (Uttar Pradesh),1,4,16.1L,15.0L,22.6L,15.8L,15.0L,16.5L,16.5L,,,4,5,https://www.ambitionbox.com/salaries/cint-salaries/business-intelligence-analyst
Cint,Senior Quality Specialist,All India,4,4,8.7L,7.8L,10.0L,8.5L,8.3L,8.9L,9.6L,,,4,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-quality-specialist
Cint,Senior Quality Specialist,New Delhi (Delhi),3,4,8.7L,7.8L,10.0L,8.5L,8.3L,8.9L,9.6L,,,4,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-quality-specialist
Cint,Senior Quality Specialist,Gurugram (Haryana),1,4,8.7L,7.8L,10.0L,8.5L,8.3L,8.9L,9.6L,,,4,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-quality-specialist
Cint,Customer Success Manager,All India,3,3,13.7L,10.0L,16.5L,14.5L,12.2L,15.5L,16.1L,85%,15%,3,9,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-manager
Cint,Customer Success Manager,New Delhi (Delhi),2,3,13.7L,10.0L,16.5L,14.5L,12.2L,15.5L,16.1L,85%,15%,3,9,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-manager
Cint,Customer Success Manager,Gurugram (Haryana),1,3,13.7L,10.0L,16.5L,14.5L,12.2L,15.5L,16.1L,85%,15%,3,9,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-manager
Cint,Senior IT Support Specialist,All India,3,3,8.8L,7.0L,10.0L,9.4L,8.2L,9.7L,9.9L,,,3,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-it-support-specialist
Cint,Senior IT Support Specialist,New Delhi (Delhi),1,3,8.8L,7.0L,10.0L,9.4L,8.2L,9.7L,9.9L,,,3,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-it-support-specialist
Cint,Senior IT Support Specialist,Noida (Uttar Pradesh),1,3,8.8L,7.0L,10.0L,9.4L,8.2L,9.7L,9.9L,,,3,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-it-support-specialist
Cint,Senior IT Support Specialist,Gurgaon / Gurugram (Haryana),1,3,8.8L,7.0L,10.0L,9.4L,8.2L,9.7L,9.9L,,,3,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-it-support-specialist
Cint,Senior Program Manager,All India,3,3,20.0L,15.0L,28.0L,20.0L,20.0L,20.0L,20.0L,,,9,9,https://www.ambitionbox.com/salaries/cint-salaries/senior-program-manager
Cint,Senior Program Manager,Gurugram (Haryana),2,3,20.0L,15.0L,28.0L,20.0L,20.0L,20.0L,20.0L,,,9,9,https://www.ambitionbox.com/salaries/cint-salaries/senior-program-manager
Cint,Data Analyst,All India,3,3,12.3L,8.0L,20.0L,8.8L,8.4L,14.4L,17.8L,,,2,5,https://www.ambitionbox.com/salaries/cint-salaries/data-analyst
Cint,Data Analyst,Gurgaon / Gurugram (Haryana),2,3,12.3L,8.0L,20.0L,8.8L,8.4L,14.4L,17.8L,,,2,5,https://www.ambitionbox.com/salaries/cint-salaries/data-analyst
Cint,Senior Business Intelligence Analyst,All India,3,3,21.1L,15.5L,27.0L,20.9L,18.2L,23.9L,25.8L,,,6,7,https://www.ambitionbox.com/salaries/cint-salaries/senior-business-intelligence-analyst
Cint,Senior Business Intelligence Analyst,Gurugram (Haryana),2,3,21.1L,15.5L,27.0L,20.9L,18.2L,23.9L,25.8L,,,6,7,https://www.ambitionbox.com/salaries/cint-salaries/senior-business-intelligence-analyst
Cint,Operations Manager,All India,3,3,18.3L,17.4L,20.0L,17.4L,17.4L,18.7L,19.5L,,,9,10,https://www.ambitionbox.com/salaries/cint-salaries/operations-manager
Cint,Operations Manager,Kolkata (West Bengal),2,3,18.3L,17.4L,20.0L,17.4L,17.4L,18.7L,19.5L,,,9,10,https://www.ambitionbox.com/salaries/cint-salaries/operations-manager
